number,event_time,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built
18893,2024-12-12T02:54:13Z,2015,575000,3,2,1750,5750,1,5,7,870,880,1956
1982,2024-12-12T02:54:13Z,2014,402500,4,2,2600,11951,2,3,10,2600,0,1988
12480,2024-12-12T02:54:13Z,2014,297000,3,2,1840,8234,2,3,8,1840,0,1994
21519,2024-12-12T02:54:13Z,2015,420000,1,2,1070,675,2,3,8,880,190,2007
10871,2024-12-12T02:54:13Z,2014,575000,4,2,2400,6137,2,3,8,2400,0,1990
16771,2024-12-12T02:54:13Z,2014,600000,5,2,3000,13899,2,4,8,3000,0,1975
11760,2024-12-12T02:54:13Z,2014,590000,4,2,2240,5400,2,4,7,1540,700,1940
8786,2024-12-12T02:54:13Z,2014,287000,2,1,720,4346,1,4,6,720,0,1942
17106,2024-12-12T02:54:13Z,2015,233000,3,1,1460,7800,1,2,7,1040,420,1979
3785,2024-12-12T02:54:13Z,2014,149000,3,1,1700,8645,1,3,6,1700,0,1955
19949,2024-12-12T02:54:13Z,2014,342500,2,1,1320,826,2,3,8,1100,220,2008
9570,2024-12-12T02:54:13Z,2014,725000,3,2,3580,54450,1,3,9,3580,0,1990
357,2024-12-12T02:54:13Z,2014,420000,4,1,1750,9600,1,4,7,1750,0,1954
17083,2024-12-12T02:54:13Z,2015,503000,3,1,2070,9827,1,4,7,1420,650,1967
4117,2024-12-12T02:54:13Z,2014,340000,3,1,1540,10400,1,3,6,1540,0,1977
5096,2024-12-12T02:54:13Z,2014,961500,3,2,3910,14000,2,3,10,3910,0,1999
16777,2024-12-12T02:54:13Z,2015,345000,2,1,770,3008,1,4,5,770,0,1917
5577,2024-12-12T02:54:13Z,2014,158550,5,1,1710,8100,1,4,7,1710,0,1961
8828,2024-12-12T02:54:13Z,2015,460000,3,1,1970,9135,1,4,7,1370,600,1961
7321,2024-12-12T02:54:13Z,2014,355000,3,1,2370,9750,1,4,7,1280,1090,1979
15053,2024-12-12T02:54:13Z,2014,260000,3,1,1580,8184,1,3,7,1140,440,1954
12470,2024-12-12T02:54:13Z,2014,257000,3,1,1450,7850,1,5,7,1450,0,1910
11665,2024-12-12T02:54:13Z,2014,410000,3,2,1790,5794,1,3,7,1380,410,1985
12408,2024-12-12T02:54:13Z,2015,311600,3,2,1358,1196,3,3,7,1358,0,2007
8993,2024-12-12T02:54:13Z,2014,459900,3,1,2340,51836,1,3,8,1510,830,1978
19845,2024-12-12T02:54:13Z,2015,484950,3,2,1590,926,3,3,8,1590,0,2014
8067,2024-12-12T02:54:13Z,2015,825000,2,1,2050,4000,1,3,8,2050,0,1979
3641,2024-12-12T02:54:13Z,2014,777000,4,4,2680,6000,1,3,7,1380,1300,1962
8035,2024-12-12T02:54:13Z,2014,218000,2,2,1310,2841,2,3,6,1310,0,2004
834,2024-12-12T02:54:13Z,2014,249900,3,1,1380,14000,1,4,5,1380,0,1939
2584,2024-12-12T02:54:13Z,2014,387000,3,1,1340,6500,1,3,7,1340,0,1972
20485,2024-12-12T02:54:13Z,2015,496800,4,2,1850,2340,2,3,8,1850,0,2014
8621,2024-12-12T02:54:13Z,2015,564000,5,2,2140,8700,1,3,8,1220,920,1962
6307,2024-12-12T02:54:13Z,2014,950000,3,3,3330,15093,2,3,9,3330,0,1988
7836,2024-12-12T02:54:13Z,2014,299950,4,1,1170,5400,1,5,6,1170,0,1953
17785,2024-12-12T02:54:13Z,2014,475000,3,1,1750,12632,1,4,7,1750,0,1952
9718,2024-12-12T02:54:13Z,2014,638000,3,2,2110,3600,2,3,9,2110,0,2005
13570,2024-12-12T02:54:13Z,2014,394000,4,2,3000,9793,2,3,7,3000,0,2002
