number,event_time,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built
18893,2024-12-12T02:54:13Z,2015,575000,3,2,5750,1750,1,5,7,870,880,1956
1982,2024-12-12T02:54:13Z,2014,402500,4,2,11951,2600,2,3,10,2600,0,1988
12480,2024-12-12T02:54:13Z,2014,297000,3,2,8234,1840,2,3,8,1840,0,1994
21519,2024-12-12T02:54:13Z,2015,420000,1,2,675,1070,2,3,8,880,190,2007
10871,2024-12-12T02:54:13Z,2014,575000,4,2,6137,2400,2,3,8,2400,0,1990
16771,2024-12-12T02:54:13Z,2014,600000,5,2,13899,3000,2,4,8,3000,0,1975
11760,2024-12-12T02:54:13Z,2014,590000,4,2,5400,2240,2,4,7,1540,700,1940
8786,2024-12-12T02:54:13Z,2014,287000,2,1,4346,720,1,4,6,720,0,1942
17106,2024-12-12T02:54:13Z,2015,233000,3,1,7800,1460,1,2,7,1040,420,1979
3785,2024-12-12T02:54:13Z,2014,149000,3,1,8645,1700,1,3,6,1700,0,1955
19949,2024-12-12T02:54:13Z,2014,342500,2,1,826,1320,2,3,8,1100,220,2008
9570,2024-12-12T02:54:13Z,2014,725000,3,2,54450,3580,1,3,9,3580,0,1990
357,2024-12-12T02:54:13Z,2014,420000,4,1,9600,1750,1,4,7,1750,0,1954
17083,2024-12-12T02:54:13Z,2015,503000,3,1,9827,2070,1,4,7,1420,650,1967
4117,2024-12-12T02:54:13Z,2014,340000,3,1,10400,1540,1,3,6,1540,0,1977
5096,2024-12-12T02:54:13Z,2014,961500,3,2,14000,3910,2,3,10,3910,0,1999
16777,2024-12-12T02:54:13Z,2015,345000,2,1,3008,770,1,4,5,770,0,1917
5577,2024-12-12T02:54:13Z,2014,158550,5,1,8100,1710,1,4,7,1710,0,1961
8828,2024-12-12T02:54:13Z,2015,460000,3,1,9135,1970,1,4,7,1370,600,1961
7321,2024-12-12T02:54:13Z,2014,355000,3,1,9750,2370,1,4,7,1280,1090,1979
15053,2024-12-12T02:54:13Z,2014,260000,3,1,8184,1580,1,3,7,1140,440,1954
12470,2024-12-12T02:54:13Z,2014,257000,3,1,7850,1450,1,5,7,1450,0,1910
11665,2024-12-12T02:54:13Z,2014,410000,3,2,5794,1790,1,3,7,1380,410,1985
12408,2024-12-12T02:54:13Z,2015,311600,3,2,1196,1358,3,3,7,1358,0,2007
8993,2024-12-12T02:54:13Z,2014,459900,3,1,51836,2340,1,3,8,1510,830,1978
19845,2024-12-12T02:54:13Z,2015,484950,3,2,926,1590,3,3,8,1590,0,2014
8067,2024-12-12T02:54:13Z,2015,825000,2,1,4000,2050,1,3,8,2050,0,1979
3641,2024-12-12T02:54:13Z,2014,777000,4,4,6000,2680,1,3,7,1380,1300,1962
8035,2024-12-12T02:54:13Z,2014,218000,2,2,2841,1310,2,3,6,1310,0,2004
834,2024-12-12T02:54:13Z,2014,249900,3,1,14000,1380,1,4,5,1380,0,1939
2584,2024-12-12T02:54:13Z,2014,387000,3,1,6500,1340,1,3,7,1340,0,1972
20485,2024-12-12T02:54:13Z,2015,496800,4,2,2340,1850,2,3,8,1850,0,2014
8621,2024-12-12T02:54:13Z,2015,564000,5,2,8700,2140,1,3,8,1220,920,1962
6307,2024-12-12T02:54:13Z,2014,950000,3,3,15093,3330,2,3,9,3330,0,1988
7836,2024-12-12T02:54:13Z,2014,299950,4,1,5400,1170,1,5,6,1170,0,1953
17785,2024-12-12T02:54:13Z,2014,475000,3,1,12632,1750,1,4,7,1750,0,1952
9718,2024-12-12T02:54:13Z,2014,638000,3,2,3600,2110,2,3,9,2110,0,2005
13570,2024-12-12T02:54:13Z,2014,394000,4,2,9793,3000,2,3,7,3000,0,2002
8290,2024-12-12T02:54:13Z,2015,419900,3,2,1755,1630,2,3,8,1320,310,1997
16722,2024-12-12T02:54:13Z,2014,340000,4,2,32710,2020,1,3,7,1070,950,1941
13566,2024-12-12T02:54:13Z,2014,806000,4,2,9629,3370,2,3,10,3370,0,1999
15076,2024-12-12T02:54:13Z,2015,358800,4,2,8140,2155,2,3,8,2155,0,1996
20959,2024-12-12T02:54:13Z,2014,407000,4,2,6000,2927,2,3,7,2927,0,2011
4860,2024-12-12T02:54:13Z,2014,596000,4,2,10000,2270,1,5,8,1720,550,1974
6617,2024-12-12T02:54:13Z,2015,829900,4,3,4000,3840,2,3,8,2640,1200,2001
14557,2024-12-12T02:54:13Z,2014,350000,3,1,4980,1020,1,4,7,850,170,1941
3734,2024-12-12T02:54:13Z,2015,800000,4,2,7807,3100,2,3,9,3100,0,2003
2042,2024-12-12T02:54:13Z,2014,440000,2,1,1968,1010,1,5,5,1010,0,1906
18886,2024-12-12T02:54:13Z,2014,511200,4,1,7875,1480,1,3,7,740,740,1927
12794,2024-12-12T02:54:13Z,2014,726000,3,2,10033,2040,1,4,8,1420,620,1974
2790,2024-12-12T02:54:13Z,2014,1610000,5,3,13260,3530,2,3,10,3530,0,2013
11601,2024-12-12T02:54:13Z,2015,625000,4,1,4431,2180,1,3,8,2020,160,1912
8823,2024-12-12T02:54:13Z,2014,425000,2,2,4095,1280,2,4,8,1280,0,1918
3690,2024-12-12T02:54:13Z,2015,132500,3,0,8573,850,1,3,6,600,250,1945
18602,2024-12-12T02:54:13Z,2014,283450,5,2,6116,2770,1,3,7,1490,1280,1979
5812,2024-12-12T02:54:13Z,2014,652000,3,2,5000,2130,1,5,7,1330,800,1925
9579,2024-12-12T02:54:13Z,2014,545000,3,2,9775,1940,1,3,8,1440,500,1975
21058,2024-12-12T02:54:13Z,2014,300000,3,3,1235,1470,2,3,7,1180,290,2008
5201,2024-12-12T02:54:13Z,2015,285900,5,1,7725,1690,1,4,7,1690,0,1961
14166,2024-12-12T02:54:13Z,2014,568450,5,3,58806,3260,2,4,8,3260,0,1969
4796,2024-12-12T02:54:13Z,2015,605000,3,2,9576,3230,1,4,8,3230,0,1966
15957,2024-12-12T02:54:13Z,2014,693000,3,2,13644,2120,2,4,9,1420,700,1973
14490,2024-12-12T02:54:13Z,2014,250000,4,1,5500,1510,1,3,7,1510,0,1920
13045,2024-12-12T02:54:13Z,2014,435000,3,1,6988,1740,1,3,7,1600,140,1950
9767,2024-12-12T02:54:13Z,2014,366000,3,1,8301,1510,1,3,7,1510,0,1967
431,2024-12-12T02:54:13Z,2014,988000,4,3,19700,4040,2,3,11,4040,0,1987
6201,2024-12-12T02:54:13Z,2015,275000,2,1,4000,840,1,3,6,840,0,1942
15180,2024-12-12T02:54:13Z,2014,2200000,4,3,7200,3790,2,3,10,2530,1260,1931
7951,2024-12-12T02:54:13Z,2014,585000,4,1,27122,2270,1,5,8,1300,970,1957
378,2024-12-12T02:54:13Z,2015,595000,4,2,2849,2020,2,3,7,2020,0,1960
8197,2024-12-12T02:54:13Z,2014,500000,3,1,10800,1540,1,5,6,770,770,1947
2276,2024-12-12T02:54:13Z,2014,288350,3,1,7963,1860,1,3,7,1200,660,1963
4371,2024-12-12T02:54:13Z,2014,499950,4,1,7700,1520,1,4,7,1520,0,1967
1011,2024-12-12T02:54:13Z,2014,475000,3,1,8970,2020,1,4,7,1180,840,1981
20387,2024-12-12T02:54:13Z,2014,580000,3,2,1173,1620,3,3,8,1470,150,2008
17148,2024-12-12T02:54:13Z,2015,204250,3,2,7708,1960,1,4,7,1490,470,1984
9559,2024-12-12T02:54:13Z,2015,453000,3,1,7200,1550,1,3,7,1100,450,1949
812,2024-12-12T02:54:13Z,2015,347000,3,2,4308,1680,2,3,7,1680,0,2004
8206,2024-12-12T02:54:13Z,2014,249000,3,1,14626,1752,2,3,8,1752,0,2005
2054,2024-12-12T02:54:13Z,2014,297000,3,2,4988,1690,2,3,7,1690,0,2002
3263,2024-12-12T02:54:13Z,2014,691500,4,2,7200,2600,2,3,7,2600,0,1962
13577,2024-12-12T02:54:13Z,2014,635000,3,1,167125,1940,1,4,7,1480,460,1955
14167,2024-12-12T02:54:13Z,2014,619000,4,1,3800,1660,1,3,7,1660,0,1926
2723,2024-12-12T02:54:13Z,2014,438000,3,1,4000,1200,1,4,6,1200,0,1923
4816,2024-12-12T02:54:13Z,2014,475000,4,2,7245,2240,1,4,7,1140,1100,1972
8157,2024-12-12T02:54:13Z,2014,220000,3,1,10200,1460,1,4,7,1460,0,1957
13740,2024-12-12T02:54:13Z,2014,750000,4,2,8938,3210,2,3,10,3210,0,2005
18000,2024-12-12T02:54:13Z,2014,212000,3,1,12233,1830,1,4,5,1830,0,1930
10315,2024-12-12T02:54:13Z,2014,402000,5,2,7620,2770,1,3,7,1700,1070,1965
8797,2024-12-12T02:54:13Z,2014,715000,4,2,7700,2450,1,3,8,1250,1200,1958
17644,2024-12-12T02:54:13Z,2015,239950,2,1,1452,1068,2,3,7,1068,0,1990
8568,2024-12-12T02:54:13Z,2015,750000,5,2,15593,3120,2,3,11,3120,0,1986
6306,2024-12-12T02:54:13Z,2014,313000,2,1,4900,1180,1,5,6,1180,0,1954
2829,2024-12-12T02:54:13Z,2015,145600,3,1,7560,1170,1,3,6,1170,0,1958
20994,2024-12-12T02:54:13Z,2015,650000,2,2,690,1470,3,3,8,1470,0,2008
16068,2024-12-12T02:54:13Z,2014,1250000,5,2,13874,3710,1,4,9,2340,1370,1977
12353,2024-12-12T02:54:13Z,2014,275000,3,1,6954,1060,1,4,6,1060,0,1983
18508,2024-12-12T02:54:13Z,2014,115000,2,0,7980,550,1,3,5,550,0,1952
10312,2024-12-12T02:54:13Z,2014,398000,3,1,6550,1480,1,4,6,1480,0,1925
19886,2024-12-12T02:54:13Z,2014,700000,4,3,5099,4490,2,3,9,3390,1100,2006
3027,2024-12-12T02:54:13Z,2015,273500,3,1,8314,1560,1,3,7,1560,0,1962
7869,2024-12-12T02:54:13Z,2014,231200,3,2,8821,1400,1,3,7,1400,0,1991
3165,2024-12-12T02:54:13Z,2014,452250,4,2,10000,2550,1,4,7,1560,990,1979
14251,2024-12-12T02:54:13Z,2015,196000,3,1,7400,1090,1,4,7,1090,0,1962
6969,2024-12-12T02:54:13Z,2015,447500,2,2,2090,1180,2,3,7,1180,0,2004
4711,2024-12-12T02:54:13Z,2014,572500,3,1,4600,1590,1,4,7,1290,300,1926
11643,2024-12-12T02:54:13Z,2015,491000,3,2,1306,1250,3,3,7,1250,0,2000
18511,2024-12-12T02:54:13Z,2014,1650000,4,2,14904,3190,1,4,9,1940,1250,1949
16529,2024-12-12T02:54:13Z,2014,505000,4,2,6369,2780,1,3,8,1590,1190,1978
1736,2024-12-12T02:54:13Z,2014,379500,3,2,14196,2070,2,3,7,2070,0,1989
20814,2024-12-12T02:54:13Z,2015,312000,3,2,4077,1780,2,3,8,1780,0,2011
21570,2024-12-12T02:54:13Z,2014,330000,3,2,5008,1450,1,3,7,840,610,2007
13981,2024-12-12T02:54:13Z,2014,235000,3,1,7592,1250,1,5,7,1250,0,1961
19777,2024-12-12T02:54:13Z,2015,2641100,5,4,16200,4660,2,3,11,4660,0,2005
14244,2024-12-12T02:54:13Z,2015,275000,3,1,9760,1290,1,3,7,1290,0,1979
9925,2024-12-12T02:54:13Z,2015,1200000,4,2,13114,2320,2,5,8,2320,0,1967
12545,2024-12-12T02:54:13Z,2014,735000,3,2,50800,3020,1,5,8,1510,1510,1968
17878,2024-12-12T02:54:13Z,2015,560000,3,1,4375,1570,1,3,7,970,600,1940
17720,2024-12-12T02:54:13Z,2014,559900,5,3,6380,2200,1,3,7,1440,760,1987
14834,2024-12-12T02:54:13Z,2014,240000,3,1,9000,1280,1,4,6,1280,0,1954
